,passed_gmms
0,AbrahamsonEtAl2014
1,AbrahamsonEtAl2014RegCHN
2,AbrahamsonEtAl2014RegJPN
3,AbrahamsonEtAl2014RegTWN
4,AbrahamsonSilva1997
5,AbrahamsonSilva2008
6,AkkarBommer2010
7,AkkarBommer2010SWISS01
8,AkkarBommer2010SWISS04
9,AkkarBommer2010SWISS08
10,AkkarCagnan2010
11,AkkarEtAl2013
12,AkkarEtAlRepi2014
13,AkkarEtAlRhyp2014
14,AkkarEtAlRjb2014
15,AkkarEtAlRjb2014Armenia
16,Allen2012
17,Ameri2014Rjb
18,AmeriEtAl2017Repi
19,AmeriEtAl2017RepiStressDrop
20,AmeriEtAl2017Rjb
21,AmeriEtAl2017RjbStressDrop
22,Atkinson2008prime
23,AtkinsonBoore1995GSCBest
24,AtkinsonBoore1995GSCLowerLimit
25,AtkinsonBoore1995GSCUpperLimit
26,AtkinsonBoore2006
27,AtkinsonBoore2006MblgAB1987bar140NSHMP2008
28,AtkinsonBoore2006MblgAB1987bar200NSHMP2008
29,AtkinsonBoore2006MblgJ1996bar140NSHMP2008
30,AtkinsonBoore2006MblgJ1996bar200NSHMP2008
31,AtkinsonBoore2006Modified2011
32,AtkinsonBoore2006Mwbar140NSHMP2008
33,AtkinsonBoore2006Mwbar200NSHMP2008
34,AtkinsonBoore2006SGS
35,BergeThierryEtAl2003Ms
36,BergeThierryEtAl2003MwL_GBL
37,BergeThierryEtAl2003MwL_ITA
38,BergeThierryEtAl2003MwL_MED
39,BergeThierryEtAl2003MwW
40,BergeThierryEtAl2003SIGMA
41,BindiEtAl2011
42,BindiEtAl2011Ita19Low
43,BindiEtAl2011Ita19Upp
44,BindiEtAl2011scaled
45,BindiEtAl2014Rhyp
46,BindiEtAl2014RhypEC8
47,BindiEtAl2014RhypEC8NoSOF
48,BindiEtAl2014RhypEC8scaled
49,BindiEtAl2014Rjb
50,BindiEtAl2014RjbArmenia
51,BindiEtAl2014RjbEC8
52,BindiEtAl2014RjbEC8NoSOF
53,BindiEtAl2017Rhypo
54,BindiEtAl2017Rjb
55,BooreAtkinson2008
56,BooreAtkinson2011
57,BooreEtAl1993GSCBest
58,BooreEtAl1993GSCLowerLimit
59,BooreEtAl1993GSCUpperLimit
60,BooreEtAl1997ArbitraryHorizontal
61,BooreEtAl1997ArbitraryHorizontalUnspecified
62,BooreEtAl1997GeometricMean
63,BooreEtAl1997GeometricMeanUnspecified
64,BooreEtAl2014
65,BooreEtAl2014CaliforniaBasin
66,BooreEtAl2014CaliforniaBasinNoSOF
67,BooreEtAl2014HighQ
68,BooreEtAl2014HighQCaliforniaBasin
69,BooreEtAl2014HighQCaliforniaBasinNoSOF
70,BooreEtAl2014HighQJapanBasin
71,BooreEtAl2014HighQJapanBasinNoSOF
72,BooreEtAl2014HighQNoSOF
73,BooreEtAl2014JapanBasin
74,BooreEtAl2014JapanBasinNoSOF
75,BooreEtAl2014LowQ
76,BooreEtAl2014LowQArmenia
77,BooreEtAl2014LowQCaliforniaBasin
78,BooreEtAl2014LowQCaliforniaBasinNoSOF
79,BooreEtAl2014LowQJapanBasin
80,BooreEtAl2014LowQJapanBasinNoSOF
81,BooreEtAl2014LowQNoSOF
82,BooreEtAl2014NoSOF
83,BooreEtAl2020
84,BozorgniaCampbell2016
85,BozorgniaCampbell2016AveQJapanSite
86,BozorgniaCampbell2016AveQJapanSiteVH
87,BozorgniaCampbell2016HighQ
88,BozorgniaCampbell2016HighQJapanSite
89,BozorgniaCampbell2016HighQJapanSiteVH
90,BozorgniaCampbell2016HighQVH
91,BozorgniaCampbell2016LowQ
92,BozorgniaCampbell2016LowQJapanSite
93,BozorgniaCampbell2016LowQJapanSiteVH
94,BozorgniaCampbell2016LowQVH
95,BozorgniaCampbell2016VH
96,Bradley2013
97,Bradley2013AdditionalSigma
98,Bradley2013LHC
99,Bradley2013bChchCBD
100,Bradley2013bChchCBDAdditionalSigma
101,Bradley2013bChchEast
102,Bradley2013bChchEastAdditionalSigma
103,Bradley2013bChchMaps
104,Bradley2013bChchMapsAdditionalSigma
105,Bradley2013bChchNorth
106,Bradley2013bChchNorthAdditionalSigma
107,Bradley2013bChchWest
108,Bradley2013bChchWestAdditionalSigma
109,Campbell2003
110,Campbell2003MblgAB1987NSHMP2008
111,Campbell2003MblgJ1996NSHMP2008
112,Campbell2003MwNSHMP2008
113,Campbell2003SHARE
114,CampbellBozorgnia2003NSHMP2007
115,CampbellBozorgnia2008
116,CampbellBozorgnia2008Arbitrary
117,CampbellBozorgnia2014
118,CampbellBozorgnia2014HighQ
119,CampbellBozorgnia2014HighQJapanSite
120,CampbellBozorgnia2014JapanSite
121,CampbellBozorgnia2014LowQ
122,CampbellBozorgnia2014LowQJapanSite
123,CauzziEtAl2014
124,CauzziEtAl2014Armenia
125,CauzziEtAl2014Eurocode8
126,CauzziEtAl2014Eurocode8NoSOF
127,CauzziEtAl2014Eurocode8scaled
128,CauzziEtAl2014FixedVs30
129,CauzziEtAl2014FixedVs30NoSOF
130,CauzziEtAl2014NoSOF
131,CauzziEtAl2014RhypoGermany
132,CauzziFaccioli2008
133,CauzziFaccioli2008SWISS01
134,CauzziFaccioli2008SWISS04
135,CauzziFaccioli2008SWISS08
136,ChaoEtAl2020Asc
137,ChiouYoungs2008
138,ChiouYoungs2008SWISS01
139,ChiouYoungs2008SWISS04
140,ChiouYoungs2008SWISS06
141,ChiouYoungs2014
142,ChiouYoungs2014Armenia
143,ChiouYoungs2014Italy
144,ChiouYoungs2014Japan
145,ChiouYoungs2014Wenchuan
146,ClimentEtAl1994
147,DerrasEtAl2014
148,DerrasEtAl2014RhypoGermany
149,DrouetAlpes2015Repi
150,DrouetAlpes2015RepiHR
151,DrouetAlpes2015Repi_50bars
152,DrouetAlpes2015Rhyp
153,DrouetAlpes2015RhypHR
154,DrouetAlpes2015Rhyp_50bars
155,DrouetAlpes2015Rjb
156,DrouetAlpes2015RjbHR
157,DrouetAlpes2015RjbHR_50bars
158,DrouetAlpes2015Rjb_50bars
159,DrouetAlpes2015Rrup
160,DrouetAlpes2015RrupHR
161,DrouetAlpes2015RrupHR_50bars
162,DrouetAlpes2015Rrup_50bars
163,DrouetBrazil2015
164,DrouetBrazil2015withDepth
165,ESHM20Craton
166,EasternCan15Low
167,EasternCan15Mid
168,EasternCan15Upp
169,EdwardsFah2013Alpine10Bars
170,EdwardsFah2013Alpine120Bars
171,EdwardsFah2013Alpine20Bars
172,EdwardsFah2013Alpine30Bars
173,EdwardsFah2013Alpine50Bars
174,EdwardsFah2013Alpine60Bars
175,EdwardsFah2013Alpine75Bars
176,EdwardsFah2013Alpine90Bars
177,EdwardsFah2013Foreland10Bars
178,EdwardsFah2013Foreland120Bars
179,EdwardsFah2013Foreland20Bars
180,EdwardsFah2013Foreland30Bars
181,EdwardsFah2013Foreland50Bars
182,EdwardsFah2013Foreland60Bars
183,EdwardsFah2013Foreland75Bars
184,EdwardsFah2013Foreland90Bars
185,ExampleA2021
186,FaccioliEtAl2010
187,FrankelEtAl1996MblgAB1987NSHMP2008
188,FrankelEtAl1996MblgJ1996NSHMP2008
189,FrankelEtAl1996MwNSHMP2008
190,GulerceEtAl2017
191,GulerceEtAl2017RegCHN
192,GulerceEtAl2017RegITA
193,GulerceEtAl2017RegJPN
194,GulerceEtAl2017RegMID
195,GulerceEtAl2017RegTWN
196,HongGoda2007
197,Idriss2014
198,KaleEtAl2015Armenia
199,KaleEtAl2015Iran
200,KaleEtAl2015Turkey
201,KothaEtAl2016
202,KothaEtAl2016Armenia
203,KothaEtAl2016Italy
204,KothaEtAl2016Other
205,KothaEtAl2016Turkey
206,KothaEtAl2020
207,KothaEtAl2020Site
208,LanzanoEtAl2019_RJB_OMO
209,LanzanoEtAl2019_RJB_OMOscaled
210,LanzanoEtAl2019_RUP_OMO
211,Lin2009
212,Lin2009AdjustedSigma
213,Lin2011foot
214,Lin2011hanging
215,McVerry2006Asc
216,OceanicCan15Low
217,OceanicCan15Mid
218,OceanicCan15Upp
219,PankowPechmann2004
220,PezeshkEtAl2011
221,PezeshkEtAl2011NEHRPBC
222,PhungEtAl2020Asc
223,RaghukanthIyengar2007
224,RaghukanthIyengar2007KoynaWarna
225,RaghukanthIyengar2007Southern
226,RaghukanthIyengar2007WesternCentral
227,RietbrockEdwards2019Low
228,RietbrockEdwards2019Mean
229,RietbrockEdwards2019Up
230,RietbrockEtAl2013MagDependent
231,RietbrockEtAl2013SelfSimilar
232,SadighEtAl1997
233,ShahjoueiPezeshk2016
234,SharmaEtAl2009
235,SilvaEtAl2002DoubleCornerSaturation
236,SilvaEtAl2002MblgAB1987NSHMP2008
237,SilvaEtAl2002MblgJ1996NSHMP2008
238,SilvaEtAl2002MwNSHMP2008
239,SilvaEtAl2002SingleCornerSaturation
240,SomervilleEtAl2001NSHMP2008
241,SomervilleEtAl2009NonCratonic
242,SomervilleEtAl2009YilgarnCraton
243,StewartEtAl2016
244,StewartEtAl2016CHNNoSOF
245,StewartEtAl2016JPNNoSOF
246,StewartEtAl2016NoSOF
247,StewartEtAl2016NoSOFVH
248,StewartEtAl2016RegCHN
249,StewartEtAl2016RegCHNNoSOFVH
250,StewartEtAl2016RegCHNVH
251,StewartEtAl2016RegJPN
252,StewartEtAl2016RegJPNNoSOFVH
253,StewartEtAl2016RegJPNVH
254,StewartEtAl2016VH
255,TavakoliPezeshk2005
256,TavakoliPezeshk2005MblgAB1987NSHMP2008
257,TavakoliPezeshk2005MblgJ1996NSHMP2008
258,TavakoliPezeshk2005MwNSHMP2008
259,ToroEtAl1997MblgNSHMP2008
260,ToroEtAl1997MwNSHMP2008
261,ToroEtAl2002
262,ToroEtAl2002SHARE
263,WesternCan15Low
264,WesternCan15Mid
265,WesternCan15RjbLow
266,WesternCan15RjbMid
267,WesternCan15RjbUpp
268,WesternCan15Upp
269,YenierAtkinson2015ACME2019
270,YenierAtkinson2015BSSA
271,ZhaoEtAl2006Asc
272,ZhaoEtAl2006AscSGS
273,ZhaoEtAl2006AscSWISS03
274,ZhaoEtAl2006AscSWISS05
275,ZhaoEtAl2006AscSWISS08
276,ZhaoEtAl2016Asc
277,ZhaoEtAl2016AscSiteSigma
